country,installs,level 10_events,level 20_events,level 30_events,level 40_events,level 50_events,level 100_events,level 70_events,rv_ads_events,smart saver pack_iap_events,brain_booster pack_iap_events,genius pass_subscription_events,no brainer pack_iap_events,level 200_events,level 150_events,level 300_events,level 400_events,puzzle of the day_events,level 500_events,purchase_events,level 600_events,level 700_events,level 800_events
United States,282,227,179,145,122,104,45,63,1412,1,1,0,1,25,26,16,15,99,12,3,8,1,1
United Kingdom,104,89,80,67,61,55,27,43,358,3,0,0,1,16,15,6,7,43,3,4,5,0,0
Canada,10,8,10,6,4,4,0,1,36,1,0,0,0,1,2,0,1,6,0,1,2,1,0
Australia,8,7,8,7,5,5,5,6,80,0,0,0,0,2,2,0,1,4,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
